t,A,B,C
-0.0509,-0.332819544522986,0.983063531873015,-0.650243987350028
-0.0508,-0.297041581577033,0.975457743712173,-0.678416162135139
-0.0507,-0.260841506289894,0.966465776721617,-0.705624270431722
-0.0506,-0.224270760949381,0.956100408978472,-0.731829648029091
-0.0505,-0.187381314585723,0.94437637023748,-0.756995055651757
-0.0504,-0.150225589120754,0.931310320999219,-0.781084731878464
-0.0503,-0.112856384873481,0.916920828834616,-0.804064443961134
-0.0502,-0.0753268055279308,0.90122834199941,-0.825901536471479
-0.0501,-0.037690182669935,0.884255160376072,-0.846564977706137
-0.05,7.34788079488412e-16,0.866025403784438,-0.866025403784438
-0.0499,0.0376901826699365,0.846564977706136,-0.884255160376073
-0.0498,0.0753268055279323,0.825901536471478,-0.901228341999411
-0.0497,0.112856384873482,0.804064443961134,-0.916920828834616
-0.0496,0.150225589120756,0.781084731878464,-0.931310320999219
-0.0495,0.187381314585724,0.756995055651756,-0.944376370237481
-0.0494,0.224270760949382,0.73182964802909,-0.956100408978472
-0.0493,0.260841506289899,0.705624270431718,-0.966465776721618
-0.0492,0.297041581577038,0.678416162135135,-0.975457743712174
-0.0491,0.332819544522988,0.650243987350027,-0.983063531873015
-0.049,0.36812455268468,0.621147780278308,-0.989272332962988
-0.0489,0.402906435713662,0.591168888222341,-0.994075323936004
-0.0488,0.437115766650934,0.560349912828143,-0.997465679479077
-0.0487,0.470703932165335,0.528734649546129,-0.999438581711464
-0.0486,0.503623201635761,0.496368025395376,-0.999991227031138
-0.0485,0.535826794978998,0.46329603511986,-0.999122830098858
-0.0484,0.567268949126755,0.429565675827428,-0.996834624954185
-0.0483,0.597904983057519,0.395224880204316,-0.993129863261835
-0.0482,0.627691361290701,0.360322448400193,-0.988013809690895
-0.0481,0.656585755752958,0.324907978680473,-0.981493734433433
-0.048,0.684547105928689,0.289031796944471,-0.973578902873161
-0.0479,0.711535677209286,0.252744885209529,-0.964280562418815
-0.0478,0.737513117358175,0.2160988091628,-0.953611926520976
-0.0477,0.762442511011448,0.179145644883583,-0.941588155895031
-0.0476,0.78628843213662,0.141937904840344,-0.928226336976963
-0.0475,0.809016994374949,0.104528463267652,-0.9135454576426
-0.0474,0.830595899195813,0.0669704810289854,-0.897566380224798
-0.0473,0.850994481794693,0.0293173300722277,-0.88031181186692
-0.0472,0.870183754669525,-0.00837748241476893,-0.861806272254756
-0.0471,0.888136448813545,-0.0460603900408517,-0.842076058772693
-0.047,0.90482705246602,-0.0836778433323162,-0.821149209133704
-0.0469,0.92023184736587,-0.121176385829649,-0.799055461536221
-0.0468,0.934328942456612,-0.158502730052092,-0.77582621240452
-0.0467,0.947098304994745,-0.195603833222049,-0.751494471772696
-0.0466,0.958521789017377,-0.232426972641786,-0.726094816375591
